,Unnamed: 0,id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,meters_estimated_diameter,orbit_id,orbit_class_type,perihelion_distance,aphelion_distance,first_observation_date,last_observation_date,orbit_class_description,volume (m^3)
13,13,2002340,2340 Hathor (1976 UA),-0.6387904902188516,True,0,1.5446091716732978e-36,61,2,1.4910527623984837,0.04331161746558942,1976-10-25,2019-01-24,2,1.1977498956249287e-100
14,14,2002368,2368 Beltrovata (1977 RA),-0.6393756188944781,False,0,1.5446091716732978e-36,306,0,2.5299677791055455,0.04599529962180261,1977-09-04,2022-04-06,1,1.1977498956249287e-100
15,15,2002608,2608 Seneca (1978 DA),-0.6391155617053108,False,0,1.5446091716732978e-36,21,0,2.252567512730039,0.046855378513640175,1978-02-17,2021-01-05,1,1.1977498956249287e-100
16,16,2003102,3102 Krok (1981 QA),-0.6392638399272045,False,0,1.5446091716732978e-36,258,0,2.434282045948094,0.04613601832661167,1981-08-21,2022-03-09,1,1.1977498956249287e-100
17,17,2003103,3103 Eger (1982 BB),-0.6393699158859437,False,0,1.5446091716732978e-36,694,1,1.9823246140406736,0.04464123709923493,1982-01-21,2022-04-15,3,1.1977498956249287e-100
18,18,2003122,3122 Florence (1981 ET3),-0.6395079286924755,True,0,1.5446091716732978e-36,636,0,2.153796034134346,0.045489049628646444,1979-03-09,2021-07-01,1,1.1977498956249287e-100
19,19,2003199,3199 Nefertiti (1982 RA),-0.6394166805559256,False,0,1.5446091716732978e-36,351,0,2.3325347424174616,0.044827000754590195,1982-09-13,2021-06-14,1,1.1977498956249287e-100
20,20,2003200,3200 Phaethon (1983 TB),-0.6394668670310281,True,0,1.5446091716732978e-36,777,1,1.3206711443281762,0.0453481506278727,1983-10-27,2021-10-22,3,1.1977498956249287e-100
21,21,2003271,3271 Ul (1982 RB),-0.6392204970623432,False,0,1.5446091716732978e-36,66,0,2.5946649758282163,0.04595157996196379,1982-09-14,2021-04-06,1,1.1977498956249287e-100
22,22,2003288,3288 Seleucus (1982 DV),-0.639358509868875,False,0,1.5446091716732978e-36,426,0,2.2946154995168477,0.04597925585300888,1982-02-28,2022-04-09,1,1.1977498956249287e-100
23,23,2003352,3352 McAuliffe (1981 CW),-0.6392912143681694,False,0,1.5446091716732978e-36,381,0,2.437291516096117,0.0455542693200032,1981-02-06,2022-04-10,1,1.1977498956249287e-100
24,24,2003360,3360 Syrinx (1981 VA),-0.6392912143681694,False,0,1.5446091716732978e-36,132,1,1.6377135908814242,0.04711491939283247,1981-11-04,2021-01-11,3,1.1977498956249287e-100
25,25,2003361,3361 Orpheus (1982 HR),-0.6388977067792978,True,0,1.5446091716732978e-36,179,1,1.8625390832560011,0.04412400889632182,1982-04-24,2022-02-10,3,1.1977498956249287e-100
26,26,2003362,3362 Khufu (1984 QA),-0.639022032365347,True,0,1.5446091716732978e-36,24,2,1.5421397182476397,0.04383038093493477,1984-08-30,2004-11-27,2,1.1977498956249287e-100
27,27,2003551,3551 Verenia (1983 RD),-0.6392033880367401,False,0,1.5446091716732978e-36,109,0,2.240237973329891,0.04613089172512859,1983-09-07,2022-04-06,1,1.1977498956249287e-100
28,28,2003552,3552 Don Quixote (1983 SA),-0.6396185670580423,False,0,1.5446091716732978e-36,269,0,2.543145158432968,0.04871177175138078,1983-09-10,2022-02-20,1,1.1977498956249287e-100
29,29,2003553,3553 Mera (1985 JA),-0.63923988729136,False,0,1.5446091716732978e-36,172,0,2.317461430589682,0.04504183958486605,1985-05-11,2021-09-09,1,1.1977498956249287e-100
30,30,2003554,3554 Amun (1986 EB),-0.6393049015886519,False,0,1.5446091716732978e-36,262,2,1.7175640833843155,0.04337027901701012,1986-03-04,2018-12-20,2,1.1977498956249287e-100
31,31,2003671,3671 Dionysus (1984 KD),-0.6392284812742913,True,0,1.5446091716732978e-36,131,1,2.1357844136244855,0.04638924739521308,1984-05-27,2022-01-06,3,1.1977498956249287e-100
32,32,2003691,3691 Bede (1982 FT),-0.6394201023610462,False,0,1.5446091716732978e-36,635,0,2.5969468058053264,0.04518794250453752,1975-06-09,2022-04-15,1,1.1977498956249287e-100
33,33,2003752,3752 Camillo (1985 PA),-0.6393721970893576,False,0,1.5446091716732978e-36,318,1,2.102024638941792,0.044541890817142625,1976-01-28,2022-04-02,3,1.1977498956249287e-100
